model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,5,2019,2012,2019,2024,2019,soft,122.60116577148438,276.0,-137.39883422851562,16.0
full,42,5,2019,2012,2019,2024,2019,action,81.21627044677734,350.0,-175.78372955322266,93.0
full,42,5,2019,2012,2019,2024,2019,real,130.74484252929688,541.0,-121.25515747070312,289.0
full,42,5,2019,2012,2019,2024,2019,state,113.07242584228516,305.0,-138.92757415771484,53.0
full,42,5,2019,2012,2019,2024,2019,diplomacy,134.45899963378906,494.0,-115.54100036621094,244.0
full,42,5,2019,2012,2019,2024,2019,mental,138.29872131347656,264.0,-109.70127868652344,16.0
full,42,5,2019,2012,2019,2024,2019,丝绸之路,126.71516418457031,522.0,-120.28483581542969,275.0
full,42,5,2019,2012,2019,2024,2019,post,123.80204010009766,546.0,-121.19795989990234,301.0
full,42,5,2019,2012,2019,2024,2019,formation,135.7431182861328,506.0,-108.25688171386719,262.0
full,42,5,2019,2012,2019,2024,2019,游客,120.4815902709961,376.0,-123.5184097290039,132.0
full,42,5,2019,2012,2019,2024,2019,branding,117.47665405273438,314.0,-122.52334594726562,74.0
full,42,5,2019,2012,2019,2024,2019,relations,128.91673278808594,179.0,-111.08326721191406,-61.0
full,42,5,2019,2012,2019,2024,2019,place,87.09236907958984,221.0,-150.90763092041016,-17.0
full,42,5,2019,2012,2019,2024,2019,role,130.78121948242188,649.0,-106.21878051757812,412.0
full,42,5,2019,2012,2019,2024,2019,conflict,130.58950805664062,174.0,-105.41049194335938,-62.0
full,42,5,2019,2012,2019,2024,2019,案例研究,121.28804779052734,316.0,-114.71195220947266,80.0
full,42,5,2019,2012,2019,2024,2019,原真性,127.59979248046875,445.0,-100.40020751953125,217.0
full,42,5,2019,2012,2019,2024,2019,time,130.69088745117188,391.0,-96.30911254882812,164.0
full,42,5,2019,2012,2019,2024,2019,product,110.91365814208984,334.0,-114.08634185791016,109.0
